title,congress_id,first_name,last_name,chamber,district,state,party,facebook_url,twitter_handle,member_level,signed_letter_count,voted_with_bma_count,legislation
Rep. Charlie Crist,C001111,Charlie,Crist,rep,13,FL,D,https://www.facebook.com/RepCharlieCrist/,@RepCharlieCrist,supporter,,,
Rep. Henry Cuellar,C001063,Henry,Cuellar,rep,28,TX,D,https://www.facebook.com/repcuellar/,@RepCuellar,supporter,,,
Rep. John Curtis,C001114,John,Curtis,rep,3,UT,R,https://www.facebook.com/JohnCurtisCampaign,@RepJohnCurtis,supporter,,,
Rep. Danny Davis,D000096,Danny,Davis,rep,7,IL,D,https://www.facebook.com/CongressmanDKDavis/,@RepDannyDavis,supporter,,,
Rep. Rodney Davis,D000619,Rodney,Davis,rep,13,IL,R,https://www.facebook.com/RepRodneyDavis,@RodneyDavis,supporter,,,
Rep. Madeleine Dean,D000631,Madeleine,Dean,rep,4,PA,D,https://www.facebook.com/RepMadeleineDean/,@RepDean,supporter,,,
Rep. Peter DeFazio,D000191,Peter,DeFazio,rep,4,OR,D,https://www.facebook.com/RepPeterDeFazio/,@RepPeterDeFazio,supporter,,,
Rep. Diane DeGette,D000197,Diane,DeGette,rep,1,CO,D,https://www.facebook.com/DianaDeGette/,@RepDianaDeGette,supporter,,,
Rep. DelBene,D000617,Suzan,DelBene,rep,1,WA,D,https://www.facebook.com/RepDelBene/,@RepDelBene,supporter,,,
Rep. Antonio Delgado,D000630,Antonio,Delgado,rep,19,NY,D,https://www.facebook.com/RepAntonioDelgado/,@repdelgado,supporter,,,
Rep. Val Demings,D000627,Val,Demings,rep,10,FL,D,https://www.facebook.com/RepresentativeValDemings,@RepValDemings,supporter,,,
Rep. Mark DeSaulnier,D000623,Mark,DeSaulnier,rep,11,CA,R,https://www.facebook.com/RepMarkDeSaulnier/,@RepDeSaulnier,supporter,,,
Rep. Scott DesJarlais,D000616,Scott,DesJarlais,rep,4,TN,R,https://www.facebook.com/ScottDesJarlaisTN04,@DesJarlaisTN04,supporter,,,
Rep Ted Deutch,D000610,Ted,Deutch,rep,22,FL,D,https://www.facebook.com/CongressmanTedDeutch/,@RepTedDeutch,supporter,,,
Rep. Nanette Diaz Barragan,B001300,Nanette,Diaz Barragan,rep,44,CA,D,https://www.facebook.com/CongresswomanBarragan/,@RepBarragan,supporter,,,
Rep. Mario Diaz-Balart,D000600,Mario,Diaz-Balart,rep,25,FL,D,https://www.facebook.com/mdiazbalart/,@MarioDB,supporter,,,
Rep. Mike Doyle,D000482,Mike,Doyle,rep,18,PA,D,https://www.facebook.com/usrepmikedoyle/,@USRepMikeDoyle,supporter,,,
Rep. Sean Duffy,D000614,Sean,Duffy,rep,7,WI,R,https://www.facebook.com/RepSeanDuffy,@RepSeanDuffy,supporter,,,
Rep. Jeff Duncan,D000615,Jeff,Duncan,rep,3,SC,R,https://www.facebook.com/RepJeffDuncan/,@RepJeffDuncan,supporter,,,
Rep. Neal Dunn,D000628,Neal,Dunn,rep,2,FL,R,https://www.facebook.com/DrNealDunnFL2/,@DrNealDunnFL2,supporter,,,
Rep. Tom Emmer,E000294,Tom,Emmer,rep,6,MN,R,https://www.facebook.com/reptomemmer/,@RepTomEmmer,supporter,,,
Rep. Elliot Engel,E000179,Elliot,Engel,rep,16,NY,D,https://www.facebook.com/RepEliotLEngel/,@RepEliotEngel,supporter,,,
Rep. Adriano Espaillat,E000297,Adriano,Espaillat,rep,13,NY,D,https://www.facebook.com/RepEspaillat/,@RepEspaillat,supporter,,,
Rep. Ron Estes,E000298,Ron,Estes,rep,4,KS,R,https://www.facebook.com/RepRonEstes/,@RepRonEstes,supporter,,,
Rep. Dwight Evans,E000296,Dwight,Evans,rep,3,PA,D,https://www.facebook.com/RepDwightEvans/,@RepDwightEvans,supporter,,,
Rep. Drew Ferguson,F000465,Drew,Ferguson,rep,3,GA,R,https://www.facebook.com/RepDrewFerguson/,@RepDrewFerguson,supporter,,,
Rep. Abby Finkenauer,F000467,Abby,Finkenauer,rep,1,IA,D,https://www.facebook.com/RepAbbyFinkenauer,@RepFinkenauer,supporter,,,
Rep. Brian Fitzpatrick,F000466,Brian,Fitzpatrick,rep,1,PA,R,https://www.facebook.com/RepBrianFitzpatrick/,@RepBrianFitz,supporter,,,
Rep. Chuck Fleischmann,F000459,Chuck,Fleischmann,rep,3,TN,R,https://www.facebook.com/repchuck/,@RepChuck,supporter,,,
Rep. Lizzie Fletcher,F000468,Lizzie,Fletcher,rep,7,TX,D,https://www.facebook.com/RepFletcher/,@RepFletcher ,supporter,,,
Rep. Bill Flores,F000461,Bill,Flores,rep,17,TX,R,https://www.facebook.com/RepBillFlores/,@RepBillFlores,supporter,,,
